league,team,season,avg_possession_rate,avg_progressive_passes,position
La Liga,Granada,2023-2024,45.58,27.47,20
La Liga,Las Palmas,2023-2024,59.21,42.0,16
La Liga,Mallorca,2023-2024,44.97,31.08,15
La Liga,Osasuna,2023-2024,47.53,35.58,11
La Liga,Rayo Vallecano,2023-2024,49.39,35.34,17
La Liga,Real Betis,2023-2024,50.37,37.92,7
La Liga,Real Madrid,2023-2024,59.24,50.92,1
La Liga,Real Sociedad,2023-2024,55.29,37.32,6
La Liga,Sevilla,2023-2024,50.29,38.5,13
La Liga,Valencia,2023-2024,44.26,30.58,9
La Liga,Villarreal,2023-2024,49.61,41.0,8
Ligue 1,Amiens,2017-2018,43.26,31.0,13
Ligue 1,Angers,2017-2018,45.11,37.63,14
Ligue 1,Bordeaux,2017-2018,50.61,39.5,6
Ligue 1,Caen,2017-2018,45.47,41.79,16
Ligue 1,Dijon,2017-2018,48.42,35.16,11
Ligue 1,Guingamp,2017-2018,49.68,39.97,12
Ligue 1,Lille,2017-2018,53.76,41.61,17
Ligue 1,Lyon,2017-2018,55.61,43.95,3
Ligue 1,Marseille,2017-2018,57.76,41.74,4
Ligue 1,Metz,2017-2018,45.53,39.95,20
Ligue 1,Monaco,2017-2018,50.95,45.84,2
Ligue 1,Montpellier,2017-2018,47.0,44.97,10
Ligue 1,Nantes,2017-2018,43.74,37.32,9
Ligue 1,Nice,2017-2018,58.05,43.13,8
Ligue 1,Paris Saint-Germain,2017-2018,66.34,54.42,1
Ligue 1,Rennes,2017-2018,49.89,39.61,5
Ligue 1,Saint-Étienne,2017-2018,51.34,41.08,7
Ligue 1,Strasbourg,2017-2018,49.13,33.92,15
Ligue 1,Toulouse,2017-2018,45.71,38.76,18
Ligue 1,Troyes,2017-2018,42.63,35.08,19
Ligue 1,Amiens,2018-2019,46.5,33.89,15
Ligue 1,Angers,2018-2019,43.32,35.53,13
Ligue 1,Bordeaux,2018-2019,50.13,36.5,14
Ligue 1,Caen,2018-2019,44.03,26.89,19
Ligue 1,Dijon,2018-2019,47.87,35.53,18
Ligue 1,Guingamp,2018-2019,44.11,36.79,20
Ligue 1,Lille,2018-2019,51.39,38.45,2
Ligue 1,Lyon,2018-2019,60.39,56.84,3
Ligue 1,Marseille,2018-2019,55.18,39.16,5
Ligue 1,Monaco,2018-2019,49.82,43.55,17
Ligue 1,Montpellier,2018-2019,47.97,45.58,6
Ligue 1,Nantes,2018-2019,50.11,39.58,12
Ligue 1,Nice,2018-2019,54.84,42.37,7
Ligue 1,Nîmes,2018-2019,45.66,32.34,9
Ligue 1,Paris Saint-Germain,2018-2019,63.71,60.5,1
Ligue 1,Reims,2018-2019,43.63,33.21,8
Ligue 1,Rennes,2018-2019,50.63,40.08,10
Ligue 1,Saint-Étienne,2018-2019,52.47,42.45,4
Ligue 1,Strasbourg,2018-2019,50.08,42.87,11
Ligue 1,Toulouse,2018-2019,48.16,39.29,16
Ligue 1,Amiens,2019-2020,45.64,36.18,19
Ligue 1,Angers,2019-2020,45.25,38.86,9
Ligue 1,Bordeaux,2019-2020,53.64,39.54,12
Ligue 1,Brest,2019-2020,49.82,40.64,14
Ligue 1,Dijon,2019-2020,46.5,32.75,16
Ligue 1,Lille,2019-2020,52.86,38.5,4
Ligue 1,Lyon,2019-2020,55.44,42.74,11
Ligue 1,Marseille,2019-2020,53.5,39.54,2
Ligue 1,Metz,2019-2020,45.29,30.25,15
Ligue 1,Monaco,2019-2020,50.86,49.68,8
Ligue 1,Montpellier,2019-2020,47.61,44.5,7
Ligue 1,Nantes,2019-2020,48.0,36.93,13
Ligue 1,Nice,2019-2020,54.64,45.36,6
Ligue 1,Nîmes,2019-2020,45.81,35.19,18
Ligue 1,Paris Saint-Germain,2019-2020,65.22,62.33,1
Ligue 1,Reims,2019-2020,48.89,37.21,5
Ligue 1,Rennes,2019-2020,49.64,33.43,3
Ligue 1,Saint-Étienne,2019-2020,48.18,37.32,17
Ligue 1,Strasbourg,2019-2020,49.59,38.89,10
Ligue 1,Toulouse,2019-2020,44.21,33.89,20
Ligue 1,Angers,2020-2021,46.39,37.84,13
Ligue 1,Bordeaux,2020-2021,49.79,35.0,12
Ligue 1,Brest,2020-2021,49.32,37.84,17
Ligue 1,Dijon,2020-2021,46.24,31.89,20
Ligue 1,Lens,2020-2021,51.11,46.32,7
Ligue 1,Lille,2020-2021,53.82,43.82,1
Ligue 1,Lorient,2020-2021,44.55,31.71,16
Ligue 1,Lyon,2020-2021,54.87,53.16,4
Ligue 1,Marseille,2020-2021,53.55,40.34,5
Ligue 1,Metz,2020-2021,45.24,33.82,10
Ligue 1,Monaco,2020-2021,55.79,46.97,3
Ligue 1,Montpellier,2020-2021,45.66,35.71,8
Ligue 1,Nantes,2020-2021,43.92,35.63,18
Ligue 1,Nice,2020-2021,54.32,40.53,9
Ligue 1,Nîmes,2020-2021,44.39,31.58,19
Ligue 1,Paris Saint-Germain,2020-2021,63.11,55.53,2
Ligue 1,Reims,2020-2021,44.87,32.79,14
Ligue 1,Rennes,2020-2021,59.11,49.66,6
Ligue 1,Saint-Étienne,2020-2021,48.29,32.66,11
Ligue 1,Strasbourg,2020-2021,45.71,34.97,15
Ligue 1,Angers,2021-2022,48.42,39.05,14
Ligue 1,Bordeaux,2021-2022,47.45,35.97,20
Ligue 1,Brest,2021-2022,43.92,35.61,11
Ligue 1,Clermont Foot,2021-2022,50.03,36.05,17
Ligue 1,Lens,2021-2022,50.68,50.26,8
Ligue 1,Lille,2021-2022,50.82,39.16,10
Ligue 1,Lorient,2021-2022,44.42,33.97,16
Ligue 1,Lyon,2021-2022,58.45,46.97,7
Ligue 1,Marseille,2021-2022,61.68,49.32,2
Ligue 1,Metz,2021-2022,42.89,29.68,19
Ligue 1,Monaco,2021-2022,54.08,49.61,3
Ligue 1,Montpellier,2021-2022,48.21,34.18,13
Ligue 1,Nantes,2021-2022,43.95,35.95,9
Ligue 1,Nice,2021-2022,51.47,38.79,4
Ligue 1,Paris Saint-Germain,2021-2022,63.0,54.39,1
Ligue 1,Reims,2021-2022,42.21,34.16,12
Ligue 1,Rennes,2021-2022,55.95,45.71,5
Ligue 1,Saint-Étienne,2021-2022,48.5,39.95,18
Ligue 1,Strasbourg,2021-2022,49.5,45.55,6
Ligue 1,Troyes,2021-2022,44.37,33.79,15
Ligue 1,Ajaccio,2022-2023,43.21,30.76,18
Ligue 1,Angers,2022-2023,46.89,36.68,20
Ligue 1,Auxerre,2022-2023,43.29,35.53,17
Ligue 1,Brest,2022-2023,44.95,34.5,14
Ligue 1,Clermont Foot,2022-2023,48.26,38.66,8
Ligue 1,Lens,2022-2023,55.58,51.74,2
Ligue 1,Lille,2022-2023,60.47,52.58,5
Ligue 1,Lorient,2022-2023,46.58,35.84,10
Ligue 1,Lyon,2022-2023,58.05,50.63,7
Ligue 1,Marseille,2022-2023,56.66,58.87,3
Ligue 1,Monaco,2022-2023,48.24,48.66,6
Ligue 1,Montpellier,2022-2023,45.76,32.92,12
Ligue 1,Nantes,2022-2023,45.92,42.11,16
Ligue 1,Nice,2022-2023,51.5,41.45,9
Ligue 1,Paris Saint-Germain,2022-2023,60.71,56.58,1
Ligue 1,Reims,2022-2023,48.71,46.89,11
Ligue 1,Rennes,2022-2023,55.42,50.58,4
Ligue 1,Strasbourg,2022-2023,45.92,39.26,15
Ligue 1,Toulouse,2022-2023,51.29,45.79,13
Ligue 1,Troyes,2022-2023,42.58,34.84,19
Ligue 1,Brest,2023-2024,53.65,41.24,3
Ligue 1,Clermont Foot,2023-2024,48.91,39.94,18
Ligue 1,Le Havre,2023-2024,44.71,36.56,15
Ligue 1,Lens,2023-2024,52.88,55.41,7
Ligue 1,Lille,2023-2024,56.62,43.18,4
Ligue 1,Lorient,2023-2024,46.29,42.26,16
Ligue 1,Lyon,2023-2024,51.82,48.56,6
Ligue 1,Marseille,2023-2024,53.68,48.82,8
Ligue 1,Metz,2023-2024,35.56,26.76,17
Ligue 1,Monaco,2023-2024,53.65,54.21,2
Ligue 1,Montpellier,2023-2024,44.65,34.53,12
Ligue 1,Nantes,2023-2024,44.79,38.59,14
